date,quarter,report_period_end,effective_date,canonical_stock_id,ticker,stock_code,stock_name,institution_id,institution_type,institution_code,institution_short_name,institution_full_name,holding_shares_10k,holding_ratio,float_holding_ratio,source,record_status
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000661.SZ,000661.SZ,000661,长春高新,SINA:001417,基金,001417,汇添富医疗服务灵活配置混合A,汇添富医疗服务灵活配置混合A,197.0571,1.16,1.16,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000661.SZ,000661.SZ,000661,长春高新,SINA:050009,基金,050009,博时新兴成长混合,博时新兴成长混合,153.103,0.9,0.9,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000661.SZ,000661.SZ,000661,长春高新,SINA:070032,基金,070032,嘉实优化红利混合A,嘉实优化红利混合A,147.6741,0.87,0.87,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000661.SZ,000661.SZ,000661,长春高新,SINA:110003,基金,110003,易方达上证50增强A,易方达上证50增强A,201.6894,1.19,1.19,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000661.SZ,000661.SZ,000661,长春高新,SINA:70010115,全国社保,70010115,全国社保基金一一五组合,全国社保基金一一五组合,235,1.38,1.38,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-25,CMIN-CN:000661.SZ,000661.SZ,000661,长春高新,SINA:70010118,全国社保,70010118,全国社保基金一一八组合,全国社保基金一一八组合,348.2565,2.05,2.05,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:000725.SZ,000725.SZ,000725,京东方A,SINA:70010101,全国社保,70010101,全国社保基金一零一组合,全国社保基金一零一组合,23927.15,0.69,0.71,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-24,CMIN-CN:000725.SZ,000725.SZ,000725,京东方A,SINA:70010108,全国社保,70010108,全国社保基金一零八组合,全国社保基金一零八组合,44089.3536,1.27,1.3,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000768.SZ,000768.SZ,000768,中航西飞,SINA:160630,基金,160630,鹏华中证国防指数(LOF)A,鹏华中证国防指数(LOF)A,3826.8572,1.38,1.38,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000768.SZ,000768.SZ,000768,中航西飞,SINA:161024,基金,161024,富国中证军工指数A,富国中证军工指数A,2982.4874,1.08,1.08,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000768.SZ,000768.SZ,000768,中航西飞,SINA:70303915,保险,70303915,国华人寿保险股份有限公司－自有...,国华人寿保险股份有限公司－自有资金,2296.2112,0.83,0.83,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:001511,基金,001511,兴全新视野定期开放混合型发起式,兴全新视野定期开放混合型发起式,619.499,0.35,0.44,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:002001,基金,002001,华夏回报混合A,华夏回报混合A,1170.0711,0.65,0.83,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:260110,基金,260110,景顺长城精选蓝筹混合,景顺长城精选蓝筹混合,899.995,0.5,0.64,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:260116,基金,260116,景顺长城核心竞争力混合A类,景顺长城核心竞争力混合A类,799.9956,0.45,0.57,Sina Finance via AKShare,monthly_asof_institution_holding
2018-04-30,20181,2018-03-31,2018-04-27,CMIN-CN:000786.SZ,000786.SZ,000786,北新建材,SINA:340007,基金,340007,兴全社会责任混合,兴全社会责任混合,1030.4458,0.58,0.73,Sina Finance via AKShare,monthly_asof_institution_holding
