date,src_institution_id,src_institution_name,dst_ticker,dst_canonical_stock_id,relation_type,holding_ratio,float_holding_ratio,edge_weight,quarter,report_period_end,effective_date,source,record_status
2018-04-30,SINA:70010105,全国社保基金一零五组合,001979.SZ,CMIN-CN:001979.SZ,institution_holds_stock,0.26,1.1,0.26,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010108,全国社保基金一零八组合,001979.SZ,CMIN-CN:001979.SZ,institution_holds_stock,0.73,3.04,0.73,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010116,全国社保基金一一六组合,001979.SZ,CMIN-CN:001979.SZ,institution_holds_stock,0.31,1.3,0.31,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010118,全国社保基金一一八组合,001979.SZ,CMIN-CN:001979.SZ,institution_holds_stock,0.34,1.4,0.34,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:161005,富国天惠成长混合(LOF)A/B,002001.SZ,CMIN-CN:002001.SZ,institution_holds_stock,0.26,0.31,0.26,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010113,全国社保基金一一三组合,002001.SZ,CMIN-CN:002001.SZ,institution_holds_stock,1.08,1.25,1.08,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010412,全国社保基金四一二组合,002001.SZ,CMIN-CN:002001.SZ,institution_holds_stock,0.38,0.44,0.38,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001373,易方达新丝路混合,002007.SZ,CMIN-CN:002007.SZ,institution_holds_stock,1.69,1.69,1.69,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:110003,易方达上证50增强A,002007.SZ,CMIN-CN:002007.SZ,institution_holds_stock,0.92,0.92,0.92,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:11001L,易方达中小盘混合,002007.SZ,CMIN-CN:002007.SZ,institution_holds_stock,1.11,1.11,1.11,20181,2018-03-31,2018-04-27,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:340007,兴全社会责任混合,002008.SZ,CMIN-CN:002008.SZ,institution_holds_stock,0.94,0.94,0.94,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010112,全国社保基金一一二组合,002008.SZ,CMIN-CN:002008.SZ,institution_holds_stock,1.06,1.06,1.06,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:80044865,DEUTSCHE BANK AKTIENGESELLSCHAFT,002008.SZ,CMIN-CN:002008.SZ,institution_holds_stock,1.93,1.93,1.93,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010111,全国社保基金一一一组合,002024.SZ,CMIN-CN:002024.SZ,institution_holds_stock,0.49,0.88,0.49,20181,2018-03-31,2018-04-28,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:160505,博时主题行业混合,002027.SZ,CMIN-CN:002027.SZ,institution_holds_stock,0.59,1.24,0.59,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010111,全国社保基金一一一组合,002027.SZ,CMIN-CN:002027.SZ,institution_holds_stock,0.4,0.84,0.4,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:70010413,全国社保基金四一三组合,002027.SZ,CMIN-CN:002027.SZ,institution_holds_stock,0.58,1.22,0.58,20181,2018-03-31,2018-04-25,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001373,易方达新丝路混合,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,0.68,1.02,0.68,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:001878,嘉实沪港深精选股票,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,0.33,0.49,0.33,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
2018-04-30,SINA:11001L,易方达中小盘混合,002032.SZ,CMIN-CN:002032.SZ,institution_holds_stock,0.65,0.97,0.65,20181,2018-03-31,2018-04-24,Sina Finance via AKShare,constructed_from_downloaded_sina_institution_holding
