date,src_ticker,dst_ticker,relation_type,shared_etf_ticker,shared_theme,shared_concept_count,edge_weight,source,record_status
2018-03-31,AAPL,NVDA,same_theme_etf_holding,ARKG,Biotechnology,1,0.00562631846775,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-10-31,PYPL,TSLA,same_theme_etf_holding,ARKW,Internet,1,0.0304450275456,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-10-31,SNAP,TSLA,same_theme_etf_holding,ARKW,Internet,1,0.051005786381,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,ADBE,same_theme_etf_holding,ARKW,Internet,1,0.01241958955,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,AMZN,same_theme_etf_holding,ARKQ | ARKW,Internet | Robotics,2,0.0402773300885,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,BABA,same_theme_etf_holding,ARKW,Internet,1,0.0162076408648,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,CAT,same_theme_etf_holding,ARKQ,Robotics,1,0.0245700206016,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,DE,same_theme_etf_holding,ARKQ,Robotics,1,0.0263857498859,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,FB,same_theme_etf_holding,ARKW,Internet,1,0.0194510208348,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,GOOG,same_theme_etf_holding,ARKQ,Robotics,1,0.0284605473509,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,JD,same_theme_etf_holding,ARKQ,Robotics,1,0.0263462099537,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,NFLX,same_theme_etf_holding,ARKW,Internet,1,0.0156634775265,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,NVDA,same_theme_etf_holding,ARKQ | ARKW,Internet | Robotics,2,0.0299114797656,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,PYPL,same_theme_etf_holding,ARKW,Internet,1,0.0125850692913,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
2020-11-30,AAPL,SNAP,same_theme_etf_holding,ARKW,Internet,1,0.0210842757459,SEC EDGAR ETF_Holdings.csv; CMIN-US ticker resolution,aggregated_shared_theme_etf
