date,canonical_stock_id,ticker,stock_code,stock_name,exchange,classification_standard,classification_version,industry_category,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_code,change_date,source,record_status
2019-10-31,CMIN-CN:300003.SZ,300003.SZ,300003,乐普医疗,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:000538.SZ,000538.SZ,000538,云南白药,SZ,申银万国行业分类标准,SW2014,医药生物,医药生物,中药Ⅱ,中药Ⅲ,中药Ⅲ,S370201,1993-12-15,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:000858.SZ,000858.SZ,000858,五粮液,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:601328.SH,601328.SH,601328,交通银行,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:000725.SZ,000725.SZ,000725,京东方A,SZ,申银万国行业分类标准,SW2014,电子,电子,光学光电子,面板,面板,S270301,2001-01-12,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:601816.SH,601816.SH,601816,京沪高铁,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600079.SH,600079.SH,600079,人福医药,SH,申银万国行业分类标准,SW2014,医药生物,医药生物,化学制药,化学制剂,化学制剂,S370102,2011-01-10,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:300014.SZ,300014.SZ,300014,亿纬锂能,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:300628.SZ,300628.SZ,300628,亿联网络,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:603369.SH,603369.SH,603369,今世缘,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600887.SH,600887.SH,600887,伊利股份,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:688036.SH,688036.SH,688036,传音控股,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:600048.SH,600048.SH,600048,保利发展,SH,申银万国行业分类标准,SW2014,房地产,房地产,房地产开发,住宅开发,住宅开发,S430101,2006-07-11,CNInfo via AKShare stock_industry_change_cninfo,matched_sw
2019-10-31,CMIN-CN:300529.SZ,300529.SZ,300529,健帆生物,SZ,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
2019-10-31,CMIN-CN:603986.SH,603986.SH,603986,兆易创新,SH,missing,missing,missing,missing,missing,missing,missing,missing,,CNInfo via AKShare stock_industry_change_cninfo,missing_sw
