date,src_ticker,dst_ticker,relation_type,gics_level,shared_industry_name,edge_weight,source,record_status
2020-01-31,COST,WBA,same_gics_industry,industry,Food & Staples Retailing,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CPRT,CTAS,same_gics_industry,industry,Commercial Services & Supplies,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CSX,ODFL,same_gics_industry,industry,Road & Rail,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CTSH,PAYX,same_gics_industry,industry,IT Services,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CTSH,PYPL,same_gics_industry,industry,IT Services,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,CTSH,VRSN,same_gics_industry,industry,IT Services,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,EA,FOX,same_gics_industry,industry,Entertainment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,EA,FOXA,same_gics_industry,industry,Entertainment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,EA,NFLX,same_gics_industry,industry,Entertainment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,EXC,XEL,same_gics_industry,industry,Multi-Utilities,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,FOX,FOXA,same_gics_industry,industry,Entertainment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,FOX,NFLX,same_gics_industry,industry,Entertainment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,FOXA,NFLX,same_gics_industry,industry,Entertainment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,GILD,INCY,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,GILD,REGN,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,GILD,VRTX,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,GOOG,GOOGL,same_gics_industry,industry,Interactive Media & Services,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340|https://en.wikipedia.org/w/index.php?oldid=938422340|historical_ticker_alias:FB->META,matched_gics
2020-01-31,GOOG,META,same_gics_industry,industry,Interactive Media & Services,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340|https://en.wikipedia.org/w/index.php?oldid=938422340|historical_ticker_alias:FB->META,matched_gics
2020-01-31,GOOGL,META,same_gics_industry,industry,Interactive Media & Services,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340|https://en.wikipedia.org/w/index.php?oldid=938422340|historical_ticker_alias:FB->META,matched_gics
2020-01-31,IDXX,ISRG,same_gics_industry,industry,Health Care Equipment & Supplies,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INCY,REGN,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INCY,VRTX,same_gics_industry,industry,Biotechnology,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,KLAC,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,LRCX,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,MCHP,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,MU,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,NVDA,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,QCOM,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,SWKS,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTC,TXN,same_gics_industry,industry,Semiconductors & Semiconductor Equipment,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
2020-01-31,INTU,MSFT,same_gics_industry,industry,Software,1.0,https://en.wikipedia.org/w/index.php?oldid=938422340,matched_gics
